9:25 AM - 11 Dec 2015|Racing way Dubai India @iptl pic twitter com OUgsbQtPhw|2.3K|5.9K
4:57 AM - 29 Nov 2015|Heeey Fawadians don't keep calm it's Fawad Khan's bday make noise trend #HappyBirthdayFawadKhan pic twitter com HVc39ZqVJ3|9|4
4:59 AM - 29 Nov 2015|#HappyBirthdayFawadKhan success success pic twitter com Px8yUbxSxu|2|0
4:59 AM - 29 Nov 2015|Don't even dare stop trending #FawadKhan #HappyBirthdayFawadKhan pic twitter com J1QcFUx3oV|10|8
5:01 AM - 29 Nov 2015|Shor macha coz it's birthday today #HappyBirthdayFawadKhan https twitter com Fawad_Ishq status 670950281555935232|8|4
5:02 AM - 29 Nov 2015|#HappyBirthdayFawadKhan dashing hero|5|2
5:03 AM - 29 Nov 2015|Fawadians let's Trend #HappyBirthdayFawadKhan|7|6
5:02 AM - 29 Nov 2015|This kill every time unforgettable life till death #FawadKhan #HappyBirthdayFawadKhan pic twitter com 5PwfbTqI8w|6|2
4:53 AM - 29 Nov 2015|@HASNAAmoon @crazy4fawad @_fawadakhan_ wow That's sizeable collection Fawad pics Good job|2|2
4:47 AM - 29 Nov 2015|@_fawadakhan_ Have absolutely amazing day Wish best bottom heart #HappyBirthdayFawadKhan|8|4
4:48 AM - 29 Nov 2015|@sarah_saying Hmm expect one tweet special day @_fawadakhan_ don't break hearts #HappyBirthdayFawadKhan|3|2
4:49 AM - 29 Nov 2015|You make blue look royal #HappyBirthdayFawadKhan pic twitter com VtEYlJT8wY|6|2
3:30 AM - 29 Nov 2015|#HappyBirthdayFawadKhan #WeWantVideomessage @_fawadakhan_ fawadians want video message Plz plz Fawad pic twitter com ZU9eWc9qA6|8|11
4:31 AM - 29 Nov 2015|luv friendship much #HappyBirthdayFawadKhan pic twitter com WctCBEXpqz|3|4
4:25 AM - 29 Nov 2015|Killing Beard #FawadKhan #HappyBirthdayFawadKhan pic twitter com 3HnyBuNjGN|2|0
4:29 AM - 29 Nov 2015|Messy #FawadKhan #HappyBirthdayFawadKhan pic twitter com L7UeA0kQd1|2|0
4:28 AM - 29 Nov 2015|Proud moment #FawadKhan #HappyBirthdayFawadKhan pic twitter com cE2W3TEBTe|4|6
4:30 AM - 29 Nov 2015|Strong Relation #FawadKhan #HappyBirthdayFawadKhan pic twitter com E9rvwOGwQA|2|1
4:21 AM - 29 Nov 2015|LOOKS #FawadKhan #HappyBirthdayFawadKhan pic twitter com wbtiUZl9b7|2|1
4:07 AM - 29 Nov 2015|#HappyBirthdayFawadKhan may God bless u|2|3
4:07 AM - 29 Nov 2015|#HappyBirthdayFawadKhan keep smiling|1|3
4:07 AM - 29 Nov 2015|Yes yes yes #HappyBirthdayFawadKhan https twitter com HASNAAmoon status 670935536744443904|2|2
4:02 AM - 29 Nov 2015|We proud Fawadians We Fawad Khan #HappyBirthdayFawadKhan pic twitter com zbSLu8F0z3|11|7
3:05 AM - 29 Nov 2015|@TeamFawadAKhan May u grow b greatest Khan Bollywood #HappyBirthdayFawadKhan|3|1
3:52 AM - 29 Nov 2015|#HappyBirthdayFawadKhan U rule Heart pic twitter com MjfoP42qDK|5|2
3:45 AM - 29 Nov 2015|I never And never words express much Awesome YOU ARE #HappyBirthdayFawadKhan pic twitter com AtDbo6PFjY|2|0
3:47 AM - 29 Nov 2015|#HappyBirthdayFawadKhan If ever come close u thats I m going looking u P pic twitter com 87HkMQFSYL|9|3
3:45 AM - 29 Nov 2015|#HappyBirthdayFawadKhan This pic adorable pic twitter com 7SRuHyFuJO|2|0
3:46 AM - 29 Nov 2015|In every pose He A style He Our Fawad #HappyBirthdayFawadKhan pic twitter com uWNth5LYqD|5|6
3:46 AM - 29 Nov 2015|And fact he's one woman man It increased respect love even #HappyBirthdayFawadKhan pic twitter com s4xPl3v4bu|8|2
3:44 AM - 29 Nov 2015|Demand High #FawadKhan #HappyBirthdayFawadKhan pic twitter com eFR83xtQH6|1|0
3:45 AM - 29 Nov 2015|@BTown_Crazen beard beardless #HappyBirthdayFawadKhan #WeWantVideomessage|1|1
3:37 AM - 29 Nov 2015|The way he's rocking beard #HappyBirthdayFawadKhan|2|1
3:33 AM - 29 Nov 2015|U Always drive crazy #FawadKhan #HappyBirthdayFawadKhan pic twitter com F9T31pMgQP|15|20
3:39 AM - 29 Nov 2015|#HappyBirthdayFawadKhan M sure u heard million times still ur eyes speak volumes pic twitter com VpYKTd73ET|4|1
3:38 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Never bothered much abt actor ur something else tuff put words pic twitter com Xj7EFwGUkV|4|2
3:16 AM - 29 Nov 2015|Stare #FawadKhan #HappyBirthdayFawadKhan pic twitter com Y9e4GbMwGS|6|2
3:27 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Love see guitar ur hands pic twitter com VPjErTLyqR|4|0
3:27 AM - 29 Nov 2015|Respect #FawadKhan #HappyBirthdayFawadKhan pic twitter com ekDupJAUgX|2|1
3:28 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Absolutely love way u get pics clicked kids pic twitter com c2OIrEb6d3|4|0
3:28 AM - 29 Nov 2015|sleepless #FawadKhan #HappyBirthdayFawadKhan pic twitter com ed60Dutq72|2|1
3:29 AM - 29 Nov 2015|Eyes enough #FawadKhan #HappyBirthdayFawadKhan pic twitter com IPyVA2PIgW|8|12
3:29 AM - 29 Nov 2015|#HappyBirthdayFawadKhan bae|2|0
3:29 AM - 29 Nov 2015|Lets trend #HappyBirthdayFawadKhan|2|1
2:57 AM - 29 Nov 2015|@sabtau may b #zgh #humsafar #ashk even simple interview u never cease 2 dazzle @_fawadakhan_ #happybdayfawadkhan luv u|3|4
3:26 AM - 29 Nov 2015|#HappyBirthdayFawadKhan No one looks better suit u pic twitter com 8P58XFS5tA|8|1
3:16 AM - 29 Nov 2015|Wishing heartthrob @_fawadakhan_ A happy birthday #HappyBirthdayFawadKhan pic twitter com lW4whwLrZE|6|2
3:20 AM - 29 Nov 2015|Smille #FawadKhan #HappyBirthdayFawadKhan pic twitter com NGYiYidhEg|4|0
3:21 AM - 29 Nov 2015|Angry young man #FawadKhan #HappyBirthdayFawadKhan pic twitter com IKqmGICCma|4|1
3:21 AM - 29 Nov 2015|Beautiful #FawadKhan #HappyBirthdayFawadKhan pic twitter com Pe7YUfedPi|4|0
3:22 AM - 29 Nov 2015|cutieeeeeee #FawadKhan #HappyBirthdayFawadKhan pic twitter com XUa0GZKuou|4|0
3:23 AM - 29 Nov 2015|Expressions #FawadKhan #HappyBirthdayFawadKhan pic twitter com IxK9Gl5VSy|5|0
3:24 AM - 29 Nov 2015|Love #FawadKhan #HappyBirthdayFawadKhan pic twitter com mI3Nj1vj37|4|1
3:24 AM - 29 Nov 2015|Al one #FawadKhan #HappyBirthdayFawadKhan pic twitter com 5mnIYLyBps|5|0
3:24 AM - 29 Nov 2015|Shoutout made special videos collages behalf fans FK's bday Love #HappyBirthdayFawadKhan|6|3
1:58 AM - 29 Nov 2015|RT And wish @_fawadakhan_ happy birthday #HappyBirthdayFawadKhan pic twitter com vbuU11C7sZ|7|3
3:14 AM - 29 Nov 2015|Sigh #FawadKhan #HappyBirthdayFawadKhan pic twitter com wTA7IIsCJc|6|3
3:06 AM - 29 Nov 2015|Me While Watching #FawadKhan PICS #HappyBirthdayFawadKhan #HappyBirthdayFawadKhan #HappyBirthdayFawadKhan pic twitter com iYl8pubrFw|6|2
3:07 AM - 29 Nov 2015|#HappyBirthdayFawadKhan One @_fawadakhan_ pic twitter com 2MOpQTjogc|5|0
3:10 AM - 29 Nov 2015|Wishing fawad happy birthday @_fawadakhan_|2|0
3:11 AM - 29 Nov 2015|All styles suits #FawadKhan #HappyBirthdayFawadKhan pic twitter com lO2Igj0mK1|2|1
3:13 AM - 29 Nov 2015|My Twitter keeps crashing #HappyBirthdayFawadKhan THIS much love he's getting|7|2
2:50 AM - 29 Nov 2015|#HappyBirthdayFawadKhan We bring @_fawadakhan_ know archives http bit ly 1Ngu0wB pic twitter com 1LFUxt5fJK|87|196
1:29 AM - 29 Nov 2015|Fawad Khan May always shine sky stardom #HappyBirthdayFawadKhan pic twitter com 0xT51AnoOY|26|50
12:51 AM - 29 Nov 2015|He Difficult IGNORE This lines perfect defination Him #Jamal #Behadd #HappyBirthdayFawadKhan pic twitter com pT5wqTvUKe|6|3
1:11 AM - 29 Nov 2015|Fawad Khan turns 34 Sonam Kapoor sends birthday wishes way Mumbai http indianexpress com article entertainment bollywood fawad-khan-turns-34-sonam-kapoor-sends-him-birthday-wishes-all-the-way-from-mumbai #sthash wQspYdFX dpuf|4|7
1:10 AM - 29 Nov 2015|visit Fb sooo many page posting birthday boy D #HappyBirthdayFawadKhan #FawadKhan pic twitter com 6M3s9W3eiv|11|11
1:13 AM - 29 Nov 2015|Happy birthday Fawad Khan Sonaholics Wishing great birthday #HappyBirthdayFawadKhan pic twitter com 5z9QVukX4C|59|97
12:57 AM - 29 Nov 2015|Let's trend #HappyBirthdayFawadKhan Timing 4pm Pst 4 30pm Ist 11am Gmt #FawadKhan|19|25
1:00 AM - 29 Nov 2015|#FawadKhan Sadaf yesterday #YPO event Goa #HappyBirthdayFawadKhan pic twitter com FpfKjY7P5B|33|55
12:26 AM - 29 Nov 2015|Fawad Khan Keep smiling bcz smile makes many hearts feel happy #HappyBirthdayFawadKhan pic twitter com sAe30h67kB|8|11
12:16 AM - 29 Nov 2015|@_fifi_1 totally I super crush brown jackets He looks extra dishy #HappyBirthdayFawadKhan|1|0
12:14 AM - 29 Nov 2015|Wishing @_fawadakhan_ man loved millions Indians Happy Birthday big hug may God keep blessed always|43|86
12:16 AM - 29 Nov 2015|A happy birthday heartthrob #FawadKhan- Psssst Here's secret he's coming soon https instagram com p -qWQHHrOaD|17|15
11:21 PM - 28 Nov 2015|#HappyBirthdayFawadKhan Today T2 article kolkata @_fawadakhan_ read really amazing pic twitter com T5EW1cuVLZ|20|17
12:04 AM - 29 Nov 2015|#HOT Happy Birthday Fawad Khan - http www pinkvilla com entertainment news 345597 hot-happy-birthday-fawad-khan #FawadKhan|29|32
11:57 PM - 28 Nov 2015|Happy birthday delicious Fawad khan A slice zaroon kashaf revisited http youtu 4hoRuUSuu10|78|90
11:47 PM - 28 Nov 2015|Happy B'day Zaroon #HappyBirthdayFawadKhan pic twitter com bpuqzT724D|1|0
11:50 PM - 28 Nov 2015|Here's wishing @_fawadakhan_ Khan zoom'licious birthday May God bless RT wish pic twitter com iFTja8MalX|118|271
11:44 PM - 28 Nov 2015|Wishing #BazaarBrideIn November cover star Khan stealing hearts nation #FawadKhan http fb 2jZx02SO7|6|4
11:35 PM - 28 Nov 2015|Wishing #BazaarBrideIn November cover star #FawadKhan Happy Birthday @_fawadakhan_ pic twitter com aQTHZoFU4R|33|36
11:37 PM - 28 Nov 2015|good morning #HappyBirthdayFawadKhan pic twitter com Zr31PKPF2e|3|2
11:31 PM - 28 Nov 2015|#FawadKhan Mr Darcy This one fab article birthday #HappyBirthdayFawadKhan http www telegraphindia com 1151129 jsp t2 story_55630 jsp# VlqphJ-oXqB|3|3
11:30 PM - 28 Nov 2015|@_fawadakhan_ turns 34 @sonamakapoor sends birthday wishes way Mumbai http iexp sEP209866 pic twitter com 244IZlaQ6D|16|33
11:13 PM - 28 Nov 2015|What The Telegraph saying Fawad Fangirls pic twitter com HOfsTK3P7l|2|4
10:56 PM - 28 Nov 2015|difficult ignore one favorite pics #HappyBirthdayFawadKhan pic twitter com xGHMfT4KsA|6|5
10:25 PM - 28 Nov 2015|Happy birthday #fawadkhan We love http ift tt 1OnoNs7 pic twitter com o5l808bF15|61|128
11:07 PM - 28 Nov 2015|He's charming oh-so handsome actor par excellence Wishing dashing @_fawadakhan_ happy birthday pic twitter com IiYMzXyhPO|135|363
10:58 PM - 28 Nov 2015|@Diksha2711 #HappyBirthdayFawadKhan one edit @_fawadakhan_ pic twitter com AEHJBAOXqH|3|2
11:11 PM - 28 Nov 2015|Keep Calm Wish #HappyBirthdayFawadKhan @_fawadakhan_ @sabtau @_Rifaf_ @FawadAKhanFc pic twitter com jIKw560TXt|6|7
10:45 PM - 28 Nov 2015|Happy Birthday ifawadkhan didn't even tell us last night would wished u personally https instagram com p -qL4a2o2RB|61|208
