4:42 AM - 21 Sep 2015|Don't like the subzi-mandi approach of matrimonial websites? Find your soulmate on the exclusive @iBluebottle! pic.twitter.com/Z4STktLE4a
1:28 AM - 21 Sep 2015|Share your #WeAreTheReaders story and win a Kindle! #WeAreTheReaders #WeAreTheReadersContest pic.twitter.com/0ei1SPkBdu
2:00 AM - 21 Sep 2015|Here's Q.1. for #DiwaliDilKiDealWali #contest! Let the fun begin! pic.twitter.com/zMyTAi8EYk
11:24 PM - 20 Sep 2015|Be Yourself because Original is more WORTH then Copy...
5:22 AM - 20 Sep 2015|@VaayuFest  Animals pe atyaachaar rokna hoga  No walks for the dogs!   #Vaayu15 #ToolazyTo
11:17 PM - 19 Sep 2015|Wednesdays, Thursdays & Fridays are like middle benchers in the class.. Nobody knows them & talks about them.!!
11:08 PM - 19 Sep 2015|If they temporarily need you, ignore them permanently..!!
12:45 AM - 19 Sep 2015|This is what happens when we use fake cartridges! #InkYourLove
12:45 AM - 19 Sep 2015|original product just like HP cartridge.  @HPIndia #InkYourLove
11:25 PM - 18 Sep 2015|A humorous take to convey an important message, kudos @HPIndia #InkYourLove.
5:11 AM - 18 Sep 2015|The phenomenon that hot water may freeze faster than cold is often called the 'Mpemba effect' @anujprajapati11
5:12 AM - 18 Sep 2015|live ur dreams #JiyoApneAndaazSe
4:23 AM - 18 Sep 2015|share your entry by recording a unique giggle on Dubsmash and share it using  #JiyoApneAndaazSe
4:23 AM - 18 Sep 2015|Have you sent us your  #JiyoApneAndaazSe entries yet?
4:20 AM - 18 Sep 2015|If you're having a bad day.. Just see this :)  #HappyWeekend Friends pic.twitter.com/MfpY61Gj2r
2:40 AM - 18 Sep 2015|What do you do for a living? I read. I travel. I love. I laugh.  No. How do you earn your bread? Oh I work. But that's not living.
12:29 AM - 18 Sep 2015|Fake contest Karke Winner ke prize Khane Wale brand ki contest par #NahiPhislenge @SomanyCeramic
12:20 AM - 18 Sep 2015|Achi Facebook Post se #NahiPhislenge @SomanyCeramic
11:29 PM - 17 Sep 2015|Buy one get one free dekh kar  #NahiPhislenge @SomanyCeramic
11:28 PM - 17 Sep 2015|Senior citizen ko ladies seat par bhi seat dene se #NahiPhislenge @SomanyCeramic
7:24 AM - 17 Sep 2015|Discussion on tea ;) pic.twitter.com/V6anfwc6Sb
