9:07 AM - 28 Sep 2015|Almost time to leave Bali #SayItAintSo 
5:43 AM - 28 Sep 2015|Tonight I'm staying in a jungle with no joke a MONKEY FOREST around me Pray for me I don't get rabies @GorgonCity pic twitter com IC7duqehpu 
5:25 AM - 28 Sep 2015|Traditional facial comes with a foot massage This would've been good to know years ago #OnlyInBali pic twitter com 40kNpgnaKd 
8:28 AM - 27 Sep 2015|Good night from Bali #sweetdreams pic twitter com YKdXyBDgvH 
2:04 AM - 27 Sep 2015|Ok u guys- I originally got the pink one but since everyone chose white-- I got both #ThatsHowDecisionsAreMade 
12:36 AM - 27 Sep 2015|White or pink pic twitter com 4pdNaFVhEG 
12:41 PM - 26 Sep 2015|last night's episode of #VacationChasers @AndreaFeczko and @RachelRoams was great this is my favorite show on friday nights 
8:28 PM - 26 Sep 2015|Working Hard or Hardly Working @ Tanah Lot https instagram com p 8HnQ2igSTH 
7:08 PM - 26 Sep 2015|What My moves r on point RT @TheQYOU @Lisa_Lottie Andrea tried some of your moves Something seems to be missing pic twitter com EEuTnOaxLP 
7:11 AM - 26 Sep 2015|While y'all be partying- I'm gonna be playing Star Wars monopoly-- bc STAR WARS MONOPOLY EXISTS pic twitter com owUQT6GnX3 
3:32 AM - 26 Sep 2015|@AndreaFeczko @RachelRoams Guess what I'm watching tonight #VacationChasers pic twitter com wGfKydpCeb 
12:45 AM - 26 Sep 2015|This morning was mad real #help #UltraBali pic twitter com mByxvzBT5D 
11:14 PM - 25 Sep 2015|Filming the opener with non other than @finalkid - it's like old times #UltraBali @ Tegallalang https instagram com p 8FVgK1AST_ 
5:40 PM - 25 Sep 2015|Read on @Mashable Burger King #BlackBurger coming to America Here is my review http ow ly SG0Ac pic twitter com tA3M4bygT5 
8:53 AM - 25 Sep 2015|Lasers temples and techno - oh my #UltraBali pic twitter com Fsj6MpxdXY 
5:07 AM - 25 Sep 2015|Doing my best goddess pose for the water god @ Uluwatu Temple Water Temple Bali Indonesia https instagram com p 8DZISSgSUN 
6:10 PM - 24 Sep 2015|Still can't believe I did this- Worlds Scariest Bungy Jump http ow ly SD1cq @how2travelers pic twitter com Ni0Z5Ss2Ta 
