5:13 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 16 
5:13 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 14 
5:13 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 12 
5:13 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 11 
5:13 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 10 
5:13 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 9 
5:13 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 8 
5:13 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 7 
5:12 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 6 
5:12 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 5 
5:12 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 4 
5:12 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 3 
5:12 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me Please 
5:12 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 2 
5:12 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 1 
5:11 AM - 9 May 2011|RT @jintu_das @rodneyondrums It wld just take sum few seconds to follow me back I beat u on dat Please - 
5:10 AM - 9 May 2011|RT @rodneyondrums Al Berry http twitpic com 4vgz7b 
5:10 AM - 9 May 2011|RT @rodneyondrums Jimmy http twitpic com 4vh1cm 
5:09 AM - 9 May 2011|@rodneyondrums It wld just take sum few seconds to follow me back I beat u on dat Please - 
5:08 AM - 9 May 2011|RT @jintu_das @rodneyondrums It wld just take sum few seconds to follow me back I beat u on dat Please - 
5:04 AM - 9 May 2011|@rodneyondrums It wld just take sum few seconds to follow me back I beat u on dat Please - 
5:01 AM - 9 May 2011|@rodneyondrums Please follow me 
5:00 AM - 9 May 2011|@rodneyondrums Please please please 
4:58 AM - 9 May 2011|@rodneyondrums I askd u so many tyms then also u wnt follow me - 
4:57 AM - 9 May 2011|@rodneyondrums Please please please follow me 30 
4:56 AM - 9 May 2011|@rodneyondrums Please please please follow me 29 
4:56 AM - 9 May 2011|@rodneyondrums Please please please follow me 28 
4:56 AM - 9 May 2011|@rodneyondrums Please please please follow me 27 
4:56 AM - 9 May 2011|@rodneyondrums Please please please follow me 26 
4:56 AM - 9 May 2011|@rodneyondrums Please please please follow me 25 
4:56 AM - 9 May 2011|@rodneyondrums Please please please follow me 24 
4:55 AM - 9 May 2011|@rodneyondrums Please please please follow me 23 
4:55 AM - 9 May 2011|@rodneyondrums Please please please follow me 22 
4:54 AM - 9 May 2011|@rodneyondrums Please please please follow me 21 
4:54 AM - 9 May 2011|@rodneyondrums Please please please follow me 20 
4:54 AM - 9 May 2011|@rodneyondrums Please please please follow me 19 
4:53 AM - 9 May 2011|@rodneyondrums Please please please follow me 18 
4:52 AM - 9 May 2011|@rodneyondrums Please please please follow me 17 
4:52 AM - 9 May 2011|@rodneyondrums Please please please follow me 16 
4:52 AM - 9 May 2011|@rodneyondrums Please please please follow me 15 
4:51 AM - 9 May 2011|@rodneyondrums Please please please follow me 14 
4:51 AM - 9 May 2011|@rodneyondrums Please please please follow me 12 
4:50 AM - 9 May 2011|@rodneyondrums Please please please follow me 11 
4:50 AM - 9 May 2011|@rodneyondrums Please please please follow me 10 
4:50 AM - 9 May 2011|@rodneyondrums Please please please follow me 9 
4:49 AM - 9 May 2011|@rodneyondrums Please please please follow me 8 
4:49 AM - 9 May 2011|@rodneyondrums Please please please follow me 7 
4:49 AM - 9 May 2011|@rodneyondrums Please please please follow me 6 
4:49 AM - 9 May 2011|@rodneyondrums Please please please follow me 5 
4:48 AM - 9 May 2011|@rodneyondrums Please please please follow me 4 
4:48 AM - 9 May 2011|@rodneyondrums Please please please follow me 3 
4:48 AM - 9 May 2011|@rodneyondrums Please please please follow me Please 
4:48 AM - 9 May 2011|@rodneyondrums Please please please follow me 2 
4:48 AM - 9 May 2011|@rodneyondrums Please please please follow me 1 
4:47 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 
4:47 AM - 9 May 2011|@rodneyondrums Please please please follow me 
4:45 AM - 9 May 2011|@rodneyondrums Tym to rock on Please please follow me 
2:51 AM - 9 May 2011|@evantaubenfeld Nice one kid 
2:48 AM - 9 May 2011|@shahidkapoor U deserve d whole of it 
1:21 AM - 9 May 2011|@Ferlazz really I m jealous Take me to singapore wid u 
1:12 AM - 9 May 2011|@Ferlazz Love d view Just superb 
10:45 PM - 8 May 2011|@HolyFoolRob Do u knw whom I m talking abt 
9:24 PM - 8 May 2011|@KieranStrange Hey beautiful Wat u doing 
7:52 PM - 8 May 2011|@avril_bandaids I love bandaids so much Thanx for evrythg u doing for @AvrilLavigne 
7:48 PM - 8 May 2011|@HolyFoolRob Yah c does sucks 
7:19 AM - 8 May 2011|@ladygaga U suck 
6:02 AM - 8 May 2011|@AvrilLavigne Love u 
3:23 AM - 8 May 2011|@KieranStrange Do me a favour gve me a direct link to download N I vl tell u its gud or nt I have 50gb of eng songs so let me gve d review 
3:20 AM - 8 May 2011|@KieranStrange Hw many copies sold till nw 
3:20 AM - 8 May 2011|@KieranStrange dats really Grt 
2:07 AM - 8 May 2011|@KieranStrange Hw is d response of ur ep frm public 
2:03 AM - 8 May 2011|@BrodyJenner U r deadly addicted to surfing Cool 
10:12 PM - 7 May 2011|@BarackObama Follow me 
10:11 PM - 7 May 2011|@avril_bandaids Follow me follow me plz 
10:10 PM - 7 May 2011|RT @AbbeyDawn @AvrilLavigne wearing the new @AbbeyDawn Follow Your Heart Tank What do you think http bit ly l52C72 
10:10 PM - 7 May 2011|RT @avril_bandaids RT @SoundAlligator @AvrilLavigne follow @avril_bandaids They've done so much for you 
